नाम-संख्या	नाम	प्रातिपदिकं	अन्त्यवर्णः	लिङ्गम्
१६६	सदायोगी	सदायोगिन्	न्	पुं
१६७	वीरहा	वीरहन्	न्	पुं
१६८	माधवः	माधव	अ	पुं
१६९	मधुः	मधु	उ	पुं
१७०	अतीन्द्रियः	अतीन्द्रिय	अ	पुं
१७१	महामायः	महामाय	अ	पुं
१७२	महोत्साहः	महोत्साह	अ	पुं
१७३	महाबलः	महाबल	अ	पुं
१७४	महाबुद्धिः	महाबुद्धि	इ	पुं
१७५	महावीर्यः	महावीर्य	अ	पुं
१७६	महाशक्तिः	महाशक्ति	इ	पुं
१७७	महाद्युतिः	महाद्युति	इ	पुं
१७८	अनिर्देश्यवपुः	अनिर्देश्यवपुस्	स्	पुं
१७९	श्रीमान्	श्रीमत्	त्	पुं
१८०	अमेयात्मा	अमेयात्मन्	न्	पुं
१८१	महाद्रिधृक्	महाद्रिधृज्	ज्	पुं
१८२	महेष्वासः	महेष्वास	अ	पुं
१८३	महीभर्ता	महीभर्तृ	ऋ	पुं
१८४	श्रीनिवासः	श्रीनिवास	अ	पुं
१८५	सतां गतिः	सतां गति	इ	स्त्री
१८६	अनिरुद्धः	अनिरुद्ध	अ	पुं
१८७	सुरानन्दः	सुरानन्द	अ	पुं
१८८	गोविन्दः	गोविन्द	अ	पुं
१८९	गोविन्दपतिः	गोविन्दपति	इ	पुं
१९०	मरीचिः	मरीचि	इ	पुं
१९१	दमनः	दमन	अ	पुं
१९२	हंसः	हंस	अ	पुं
१९३	सुपर्णः	सुपर्ण	अ	पुं
१९४	भुजगोत्तमः	भुजगोत्तम	अ	पुं
१९५	हिरण्यनाभः	हिरण्यनाभ	अ	पुं
१९६	सुतपस्	सुतपस्	स्	पुं
१९७	पद्मनाभः	पद्मनाभ	अ	पुं
१९८	प्रजापतिः	प्रजापति	इ	पुं
१९९	अमृत्युः	अमृत्यु	उ	पुं
२००	सर्वदृक्	सर्वदृश्	श्	पुं
२०१	सिंहः	सिंह	अ	पुं
२०२	संधानः	संधान	अ	पुं
२०३	संधिमत्	संधिमत्	त्	पुं
२०४	स्थिरः	स्थिर	अ	पुं
२०५	अजः	अज	अ	पुं
२०६	दुर्मर्षणः	दुर्मर्षण	अ	पुं
२०७	शास्ता	शास्तृ	ऋ	पुं
२०८	विश्रुतात्मा	विश्रुतात्मन्	न्	पुं
२०९	सुरारिहा	सुरारिहन्	न्	पुं
२१०	गुरुः	गुरु	उ	पुं
२११	गुरुतमः	गुरुतम	अ	पुं
२१२	धाम	धामन्	न्	न
२१३	सत्यः	सत्य	अ	पुं
२१४	सत्यपराक्रमः	सत्यपराक्रम	अ	पुं
२१५	निमिषः	निमिष	अ	पुं
२१६	अनिमिषः	अनिमिष	अ	पुं
२१७	स्रग्वी	स्रग्विन्	न्	पुं
२१८	वाचस्पतिः	वाचस्पति	इ	पुं
२१९	उदारधीः	उदारधी	ई	पुं
२२०	अग्रणीः	अग्रणी	ई	पुं
२२१	ग्रामणीः	ग्रामणी	ई	पुं
२२२	श्रीमान्	श्रीमत्	त्	पुं
२२३	न्यायः	न्याय	अ	पुं
२२४	नेता	नेतृ	ऋ	पुं
२२५	समीरणः	समीरण	अ	पुं
२२६	सहस्रमूर्धन्	सहस्रमूर्धन्	न्	पुं
२२७	विश्वात्मा	विश्वात्मन्	न्	पुं
२२८	सहस्राक्षः	सहस्राक्ष	अ	पुं
२२९	सहस्रपात्	सहस्रपाद्	द्	पुं
२३०	आवर्तनः	आवर्तन	अ	पुं
२३१	निवृत्तात्मा	निवृत्तात्मन्	न्	पुं
२३२	संवृतः	संवृत	अ	पुं
२३३	संप्रमर्दनः	संप्रमर्दन	अ	पुं
२३४	अहःसंवर्तकः	अहःसंवर्तक	अ	पुं
२३५	वह्निः	वह्नि	इ	पुं
२३६	अनिलः	अनिल	अ	पुं
२३७	धरणीधरः	धरणीधर	अ	पुं
२३८	सुप्रसादः	सुप्रसाद	अ	पुं
२३९	प्रसन्नात्मा	प्रसन्नात्मन्	न्	पुं
२४०	विश्वधृक्	विश्वधृज्	ज्	पुं
२४१	विश्वभुक्	विश्वभुज्	ज्	पुं
२४२	विभुः	विभु	उ	पुं
२४३	सत्कर्ता	सत्कर्तृ	ऋ	पुं
२४४	सत्कृतः	सत्कृत	अ	पुं
२४५	साधुः	साधु	उ	पुं
२४६	जह्नुः	जह्नु	उ	पुं
२४७	नारायणः	नारायण	अ	पुं
२४८	नरः	नर	अ	पुं
२४९	असंख्येयः	असंख्येय	अ	पुं
२५०	अप्रमेयात्मा	अप्रमेयात्मन्	न्	पुं
२५१	विशिष्टः	विशिष्ट	अ	पुं
२५२	शिष्टकृत्	शिष्टकृत्	त्	पुं
२५३	शुचिः	शुचि	इ	पुं
२५४	सिद्धार्थः	सिद्धार्थ	अ	पुं
२५५	सिद्धसंकल्पः	सिद्धसंकल्प	अ	पुं
२५६	सिद्धिदः	सिद्धिद	अ	पुं
२५७	सिद्धिसाधनः	सिद्धिसाधन	अ	पुं
२५८	वृषाही	वृषाहन्	न्	पुं
२५९	वृषभः	वृषभ	अ	पुं
२६०	विष्णुः	विष्णु	उ	पुं
२६१	वृषपर्वा	वृषपर्वन्	न्	पुं
२६२	वृषोदरः	वृषोदर	अ	पुं
२६३	वर्धनः	वर्धन	अ	पुं
२६४	वर्धमानः	वर्धमान	अ	पुं
२६५	विविक्तः	विविक्त	अ	पुं
२६६	श्रुतिसागरः	श्रुतिसागर	अ	पुं
२६७	सुभुजः	सुभुज	अ	पुं
२६८	दुर्धरः	दुर्धर	अ	पुं
२६९	वाग्मी	वाग्मिन्	न्	पुं
२७०	महेन्द्रः	महेन्द्र	अ	पुं
२७१	वसुदः	वसुद	अ	पुं
२७२	वसुः	वसु	उ	पुं
२७३	नैकरूपः	नैकरूप	अ	पुं
२७४	बृहद्रूपः	बृहद्रूप	अ	पुं
२७५	शिपिविष्टः	शिपिविष्ट	अ	पुं
२७६	प्रकाशनः	प्रकाशन	अ	पुं
२७७	ओजस्तेजोद्युतिधरः	ओजस्तेजोद्युतिधर	अ	पुं
२७८	प्रकाशात्मा	प्रकाशात्मन्	न्	पुं
२७९	प्रतापनः	प्रतापन	अ	पुं
२८०	ऋद्धः	ऋद्ध	अ	पुं
२८१	स्पष्टाक्षरः	स्पष्टाक्षर	अ	पुं
२८२	मन्त्रः	मन्त्र	अ	पुं
२८३	चन्द्रांशुः	चन्द्रांशु	उ	पुं
२८४	भास्करद्युतिः	भास्करद्युति	इ	पुं
२८५	अमृतांशूद्भवः	अमृतांशूद्भव	अ	पुं
२८६	भानुः	भानु	उ	पुं
२८७	शशबिन्दुः	शशबिन्दु	उ	पुं
२८८	सुरेश्वरः	सुरेश्वर	अ	पुं
२८९	औषधम्	औषध	अ	न
२९०	जगतः सेतुः	जगतः सेतु	उ	पुं
२९१	सत्यधर्मपराक्रमः	सत्यधर्मपराक्रम	अ	पुं
२९२	भूतभव्यभवन्नाथः	भूतभव्यभवन्नाथ	अ	पुं
२९३	पवनः	पवन	अ	पुं
२९४	पावनः	पावन	अ	पुं
२९५	अनलः	अनल	अ	पुं
२९६	कामहा	कामहन्	न्	पुं
२९७	कामकृत्	कामकृत्	त्	पुं
२९८	कान्तः	कान्त	अ	पुं
२९९	कामः	काम	अ	पुं
३००	कामप्रदः	कामप्रद	अ	पुं
३०१	प्रभुः	प्रभु	उ	पुं
३०२	युगादिकृत्	युगादिकृत्	त्	पुं
